Level,Comment,Users Start Level,Retain Level,%Delta ,Play/User,Drop From Start To Win,Win Rate,P-rate,%User Ad Reward,Ads Reward/User,%User Ad Inter,Ads Inter/User,%User Revive,Avg Revive,AVG Lose Play Time,AVG Win Playtime,AVG Play Time,Playtime/ User Win,AVG Lose Play Time,AVG Win Playtime,AVG Play Time,
38,"Khó, monet tốt",456,14.64%,-0.06%,1.62,4.17%,62.96%,0.00%,10.75%,0.18,64.69%,0.85,6.58%,1.00,12:01:09 AM,12:01:46 AM,12:02:20 AM,12:02:26 AM,69,106,140,146
39,,430,13.80%,-0.83%,1.03,0.93%,96.85%,0.00%,1.16%,0.02,33.72%,0.35,0.47%,1.00,12:00:49 AM,12:01:07 AM,12:01:08 AM,12:01:08 AM,49,67,68,68
40,,432,13.87%,0.06%,1.11,0.69%,95.00%,0.00%,1.85%,0.02,60.19%,0.67,0.46%,1.00,12:01:21 AM,12:01:14 AM,12:01:17 AM,12:01:17 AM,81,74,77,77
41,,413,13.26%,-0.61%,1.30,1.94%,82.68%,0.00%,5.33%,0.06,63.44%,0.78,2.18%,1.00,12:01:59 AM,12:01:40 AM,12:02:00 AM,12:02:02 AM,119,100,120,122
42,,396,12.71%,-0.55%,1.09,0.50%,94.46%,0.00%,2.02%,0.02,41.31%,0.45,1.26%,1.00,12:00:58 AM,12:01:19 AM,12:01:21 AM,12:01:22 AM,58,79,81,82
43,"Khó, Drop nhiều",392,12.58%,-0.13%,1.43,5.61%,69.57%,0.00%,10.71%,0.17,71.94%,0.94,5.36%,1.19,12:05:02 AM,12:02:14 AM,12:03:55 AM,12:04:09 AM,302,134,235,249
44,,352,11.30%,-1.28%,1.18,2.56%,85.34%,0.00%,5.40%,0.09,39.77%,0.45,2.27%,1.00,12:00:56 AM,12:01:30 AM,12:01:37 AM,12:01:40 AM,56,90,97,100
45,,349,11.20%,-0.10%,1.21,0.86%,86.73%,0.00%,5.73%,0.08,72.78%,0.85,4.01%,1.21,12:03:56 AM,12:01:47 AM,12:02:11 AM,12:02:12 AM,236,107,131,132
46,,336,10.79%,-0.42%,1.23,0.60%,83.54%,0.00%,3.87%,0.07,44.05%,0.53,2.08%,1.14,12:01:50 AM,12:03:34 AM,12:03:53 AM,12:03:54 AM,110,214,233,234
47,,335,10.75%,-0.03%,1.54,2.09%,69.19%,0.00%,8.66%,0.12,76.12%,1.01,5.07%,1.12,12:03:03 AM,12:02:50 AM,12:04:06 AM,12:04:11 AM,183,170,246,251
48,"Khó, Block Drop nhiều",327,10.50%,-0.26%,1.64,4.28%,63.55%,0.00%,11.31%,0.17,66.67%,0.93,4.59%,1.13,12:02:39 AM,12:03:56 AM,12:05:11 AM,12:05:25 AM,159,236,311,325
49,,312,10.02%,-0.48%,1.24,1.60%,85.01%,0.00%,7.69%,0.13,64.42%,0.77,4.17%,1.08,12:18:46 AM,12:02:09 AM,12:04:55 AM,12:05:00 AM,1126,129,295,300
50,,311,9.98%,-0.03%,1.22,0.64%,84.92%,0.00%,4.50%,0.06,50.16%,0.57,2.25%,1.00,12:01:02 AM,12:02:19 AM,12:02:26 AM,12:02:27 AM,62,139,146,147
